"Org Seq","Organization","Pos Seq","Position","Ldrshp","Indiv ID","Indiv Name","Sustained","Set Apart",
"1","Bishopric","1","Bishop","Yes","98","Doe, John","Mar 2012","Yes",
"1","Bishopric","2","Bishopric First Counselor","Yes","1790","Doe, James","Jul 2012","Yes",
"1","Bishopric","3","Bishopric Second Counselor","Yes","1614","Doe, Jacob","Mar 2012","Yes",
"1","Bishopric","4","Ward Executive Secretary","Yes","2015","Doe, Joe","Apr 2013","Yes",
"1","Bishopric","5","Ward Clerk","Yes","2005","Sonderegger, Doe, John Jr.","Jun 2012","Yes",
"1","Bishopric","6","Ward Assistant Clerk--Finance","Yes","1699","Doe, Joshua","Apr 2012","Yes",
"1","Bishopric","7","Ward Assistant Clerk--Membership","Yes","1933","Doe, Jake","Nov 2012","Yes",
"2","High Priests Group","1","High Priests Group Instructor","No","42","Doe, Joseph","Jun 2011","Yes",
"2","High Priests Group","2","High Priests Home Teaching District Supervisor","No","","","","No",
"2","High Priests Group","3","High Priests Home Teaching District Supervisor","No","","","","No",
"2","High Priests Group","4","High Priests Home Teaching District Supervisor","No","","","","No",
"2","High Priests Group","5","High Priests Home Teaching District Supervisor","No","1355","Doe, Shmoe","Feb 2007","No",
"2","High Priests Group","6","High Priests Group Leader","Yes","685","Doe, Harry","Dec 2010","Yes",
"2","High Priests Group","7","High Priests Group First Assistant","Yes","135","Dow, Jake","Dec 2010","Yes",
"2","High Priests Group","8","High Priests Group Second Assistant","Yes","1355","Doe, Joe","Apr 2013","Yes",
"2","High Priests Group","9","High Priests Group Secretary","Yes","780","Doe, Moe","","No",
"2","High Priests Group","10","High Priests Group Instructor","No","1684","Doe, Row","Oct 2010","No",
"2","High Priests Group","11","High Priests Group Instructor","No","780","Doe, Jay","","No",
"2","High Priests Group","12","High Priests Home Teaching District Supervisor","No","685","Doe, Joe","Feb 2007","No",
"2","High Priests Group","13","High Priests Home Teaching District Supervisor","No","135","Doe, James","Oct 2006","No",
"3","Elders Quorum","1","Elders Quorum Instructor","No","2047","Doe, Eugene","Mar 2013","Yes",
"3","Elders Quorum","2","Elders Quorum Instructor","No","1864","Doe, Kevin","Aug 2012","Yes",
"3","Elders Quorum","3","Elders Quorum Instructor","No","","","","No",
"3","Elders Quorum","4","Substitute instructor","No","","","","No",
"3","Elders Quorum","5","Substitute instructor","No","","","","No",
"3","Elders Quorum","6","Substitute instructor","No","","","","No",
"3","Elders Quorum","7","4th Week Instructor","No","","","","No",
"3","Elders Quorum","8","Activities and sports coordinator","No","","","","No",
"3","Elders Quorum","9","Fellowshipping Coordinator","No","","","","No",
"3","Elders Quorum","10","Service Assistant","No","","","","No",
"3","Elders Quorum","11","Temporal and Welfare Committee Chair","No","","","","No",
"3","Elders Quorum","12","Elders Quorum President","Yes","1711","Doe, Chris","Sep 2011","Yes",
"3","Elders Quorum","13","Elders Quorum First Counselor","Yes","","","","No",
"3","Elders Quorum","14","Elders Quorum Second Counselor","Yes","1546","Doe, Bryan","Sep 2011","Yes",
"3","Elders Quorum","15","Elders Quorum Secretary","Yes","1757","Doe, John","Sep 2010","Yes",
"3","Elders Quorum","16","Elders Home Teaching District Supervisor","No","1711","Doe, Chris","Oct 2009","No",
"4","Relief Society","1","Relief Society Compassionate Service Coordinator","No","","","","No",
"4","Relief Society","2","Relief Society Teacher","No","562","Doe, Brenda","Oct 2013","No",
"4","Relief Society","3","Relief Society Teacher","No","","","","No",
"4","Relief Society","4","Relief Society Teacher","No","593","Dow, Chris","Feb 2011","Yes",
"4","Relief Society","5","Relief Society Visiting Teaching Coordinator","No","","","","No",
"4","Relief Society","6","Relief Society Visiting Teaching District Supervisor","No","2098","Doe, Amanda","","No",
"4","Relief Society","7","Relief Society Visiting Teaching District Supervisor","No","484","Doe, Margaret","Nov 2009","Yes",
"4","Relief Society","8","Relief Society Visiting Teaching District Supervisor","No","2051","Doe, Gina","","No",
"4","Relief Society","9","Relief Society Visiting Teaching District Supervisor","No","","","","No",
"4","Relief Society","10","Relief Society Meeting Committee Member","No","","","","No",
"4","Relief Society","11","Relief Society Music Leader","No","","","","No",
"4","Relief Society","12","Relief Society Pianist","No","2173","Doe, Michelle","Aug 2013","Yes",
"4","Relief Society","13","Relief Society Meeting Coordinator","No","562","Doe, Brenda","Jan 2013","No",
"4","Relief Society","14","Publicity Specialist","No","","","","No",
"4","Relief Society","15","Compasion Service Member","No","","","","No",
"4","Relief Society","16","Compasion Service Member","No","","","","No",
"4","Relief Society","17","Enrichment Comm.","No","","","","No",
"4","Relief Society","18","Enrichment Comm.","No","","","","No",
"4","Relief Society","19","Relief Society Meeting Chair","No","","","","No",
"4","Relief Society","20","Humanitarian Coordinator","No","","","","No",
"4","Relief Society","21","Relief Society President","Yes","2051","Doe, Gina","Mar 2013","Yes",
"4","Relief Society","22","Relief Society First Counselor","Yes","136","Doe, Susan","Mar 2013","Yes",
"4","Relief Society","23","Relief Society Second Counselor","Yes","1666","Doe, Nancy Jo","Mar 2013","Yes",
"4","Relief Society","24","Relief Society Secretary","Yes","556","Doe, Robyn","Mar 2013","Yes",
"4","Relief Society","25","Relief Society Visiting Teaching Coordinator","No","2100","Doe, Shayla Dee","Feb 2013","Yes",
"4","Relief Society","26","Enrichment Cord.","No","781","Doe, Gayle","Jun 2009","Yes",
"4","Relief Society","27","Relief Society Teacher","No","584","Doe, Lucille","Jul 2008","No",
"4","Relief Society","28","Relief Society Music Leader","No","798","Doe, Amy","Jun 2013","Yes",
"4","Relief Society","29","Preparedness Specialist","No","1608","Mount, Doe Jean","Oct 2009","Yes",
"4","Relief Society","30","Enrichment Comm. (Temple Night)","No","136","Dow, Susan","Sep 2009","Yes",
"4","Relief Society","31","Enrich. Childrens Class Asst. Leader","No","666","Dow, Samantha","","No",
"4","Relief Society","32","Weekday Activity Coordinator","No","2201","Doe, Cherrie","Oct 2013","No",
"6","Young Men","1","Priests Quorum Adviser","No","1684","Dow, Scott Robert","Oct 2013","Yes",
"6","Young Men","2","Teachers Quorum Adviser","No","2183","Doe, Scott","Sep 2013","No",
"6","Young Men","3","Scoutmaster","No","1393","Dow, Tyler","Sep 2012","Yes",
"6","Young Men","4","Scoutmaster","No","","","","No",
"6","Young Men","5","Assistant Scoutmaster","No","1393","Doe, Tyler","Apr 2012","No",
"6","Young Men","6","Asst. Varsity Team Leader","No","2183","Doe, Scott","Sep 2013","No",
"6","Young Men","7","Young Men President","Yes","","","","No",
"6","Young Men","8","Young Men President","Yes","1490","Doe, Mike","Nov 2012","Yes",
"6","Young Men","9","Assistant Scoutmaster","No","1393","Doe, Tyler","Apr 2012","Yes",
"6","Young Men","10","Young Men First Counselor","Yes","","","","No",
"6","Young Men","11","Scouting Committee Chairman","No","780","Doe, Stephen","Oct 2009","No",
"6","Young Men","12","Young Men Second Counselor","Yes","","","","No",
"6","Young Men","13","Young Men Second Counselor","Yes","2050","Dow, Jon","Nov 2012","Yes",
"6","Young Men","14","Young Men Secretary","Yes","500","Doe, Stuart","Apr 2012","Yes",
"6","Young Men","15","Venturing Crew Adviser","No","","","","No",
"6","Young Men","16","Deacons Quorum Adviser","No","1393","Dow, Tyler","Apr 2012","Yes",
"6","Young Men","17","Scouting Committee Member","No","555","Doe, Aaron","Jun 2010","Yes",
"39","Priests Quorum","1","Priests Quorum President","Yes","98","Doe, John","Mar 2012","Yes",
"39","Priests Quorum","2","Priests Quorum First Assistant","Yes","1617","Doe, John Hyram","Apr 2012","Yes",
"39","Priests Quorum","3","Priests Quorum Second Assistant","Yes","","","","No",
"39","Priests Quorum","4","Priests Quorum Secretary","Yes","","","","No",
"40","Teachers Quorum","1","Teachers Advisor","No","","","","No",
"40","Teachers Quorum","2","Teachers Quorum President","Yes","557","Doe, Nathan","Mar 2013","Yes",
"40","Teachers Quorum","3","Teachers Quorum First Counselor","Yes","1618","Doe, Daniel Steven","Mar 2013","Yes",
"40","Teachers Quorum","4","Teachers Quorum Second Counselor","Yes","517","Doe, Quinn","Mar 2013","No",
"40","Teachers Quorum","5","Teachers Quorum Secretary","Yes","688","Endicott, Dow","Jul 2012","Yes",
"41","Deacons Quorum","1","Deacons Quorum President","Yes","1619","Dow, Darin Henry","Aug 2013","Yes",
"41","Deacons Quorum","2","Deacons Quorum First Counselor","Yes","518","Doe, Luke","Aug 2013","Yes",
"41","Deacons Quorum","3","Deacons Quorum Second Counselor","Yes","","","","No",
"41","Deacons Quorum","4","Deacons Quorum Secretary","Yes","","","","No",
"8","Young Women","1","Laurel Adviser","No","269","Doe, Wyma","May 2013","Yes",
"8","Young Women","2","Mia Maid Adviser","No","77","Doe, Charlie","Mar 2011","Yes",
"8","Young Women","3","Young Women Camp Director","No","686","Doe, Shelly","Dec 2012","Yes",
"8","Young Women","4","Young Women Assistant Camp Director","No","1491","Doe, Melissa","Jul 2013","Yes",
"8","Young Women","5","Young Women Sports Specialist","No","1183","Doe, Cassie Marie","Nov 2011","Yes",
"8","Young Women","6","Sports Director","No","","","","No",
"8","Young Women","7","Personal Progress Advisor","No","","","","No",
"8","Young Women","8","Young Women President","Yes","501","Doe, Marcia","Oct 2012","Yes",
"8","Young Women","9","Mia Maid Adviser","No","77","Doe, Charlie","Mar 2011","Yes",
"8","Young Women","10","Young Women First Counselor","Yes","1700","Doe, Camile M","Oct 2012","Yes",
"8","Young Women","11","Laurel First Counselor","Yes","","","","No",
"8","Young Women","12","Young Women Second Counselor","Yes","99","Doe, Alison","Jul 2013","Yes",
"8","Young Women","13","Young Women Secretary","Yes","1409","Doe, Amanda","Jul 2013","Yes",
"8","Young Women","14","Beehive Adviser","No","401","Doe, Cynthia","Sep 2013","No",
"42","Laurel","1","Laurel 2nd Counselor","No","","","","No",
